dataset,regime,method,seed,coverage,cov_lo,cov_hi,coverage_hiTc,cov_hiTc_lo,cov_hiTc_hi,width_mean,width_hiTc,n_test,n_hiTc,n_families,mae
A,iid,norm_cv,4,0.8967,0.8886,0.9054,0.9098,0.8891,0.9268,25.479,38.99,6379,1220,2041,5.725
A,iid,cqr,4,0.891,0.8809,0.9007,0.8123,0.7781,0.8357,37.867,65.067,6379,1220,2041,5.725
A,deploy,split,0,0.7668,0.7192,0.8211,0.5401,0.445,0.6513,26.671,26.671,6638,1396,1010,8.982
A,deploy,oracle_global,0,0.9001,0.8715,0.93,0.8209,0.7604,0.8664,46.829,46.829,6638,1396,1010,8.982
A,deploy,oracle_cond,0,0.9003,0.8633,0.9301,0.9011,0.8589,0.9322,45.51,63.998,6638,1396,1010,8.982
A,deploy,norm_cv,0,0.7807,0.7276,0.8187,0.8317,0.7728,0.8783,28.911,47.219,6638,1396,1010,8.982
A,deploy,cqr,0,0.7558,0.7227,0.7943,0.5795,0.452,0.7067,36.818,62.378,6638,1396,1010,8.982
A,deploy,split,1,0.7914,0.7538,0.8283,0.6852,0.6118,0.7593,27.541,27.541,6160,1239,1010,8.695
A,deploy,oracle_global,1,0.9002,0.8772,0.9206,0.8652,0.8126,0.905,45.694,45.694,6160,1239,1010,8.695
A,deploy,oracle_cond,1,0.9003,0.8766,0.9218,0.9007,0.855,0.9343,45.435,55.024,6160,1239,1010,8.695
A,deploy,norm_cv,1,0.782,0.7506,0.8056,0.8273,0.7588,0.8797,27.802,42.522,6160,1239,1010,8.695
A,deploy,cqr,1,0.7963,0.7524,0.8342,0.6683,0.5405,0.7797,38.388,61.591,6160,1239,1010,8.695
A,deploy,split,2,0.8143,0.7804,0.857,0.6659,0.5756,0.7246,28.407,28.407,6636,1347,1010,8.482
A,deploy,oracle_global,2,0.9002,0.8785,0.9279,0.8344,0.7678,0.8677,42.309,42.309,6636,1347,1010,8.482
A,deploy,oracle_cond,2,0.9004,0.8771,0.9264,0.9013,0.8442,0.9305,40.326,53.787,6636,1347,1010,8.482
A,deploy,norm_cv,2,0.811,0.7853,0.8364,0.8537,0.7737,0.8964,29.824,42.541,6636,1347,1010,8.482
A,deploy,cqr,2,0.8235,0.7948,0.8472,0.7699,0.6599,0.8438,38.352,63.301,6636,1347,1010,8.482
A,deploy,split,3,0.8299,0.7969,0.8625,0.608,0.5358,0.6656,28.447,28.447,5514,676,1010,7.946
A,deploy,oracle_global,3,0.9003,0.8759,0.9224,0.7456,0.6736,0.805,38.585,38.585,5514,676,1010,7.946
A,deploy,oracle_cond,3,0.9006,0.8767,0.9227,0.9024,0.8502,0.9382,38.781,70.257,5514,676,1010,7.946
A,deploy,norm_cv,3,0.7755,0.7447,0.8027,0.7396,0.6774,0.7966,24.779,41.103,5514,676,1010,7.946
A,deploy,cqr,3,0.8023,0.7723,0.8284,0.6967,0.6238,0.76,32.56,60.388,5514,676,1010,7.946
A,deploy,split,4,0.7513,0.6975,0.8126,0.5363,0.4292,0.6656,27.538,27.538,6937,1212,1010,9.919
A,deploy,oracle_global,4,0.9002,0.8623,0.9345,0.8168,0.76,0.8732,50.137,50.137,6937,1212,1010,9.919
A,deploy,oracle_cond,4,0.9004,0.8579,0.9333,0.901,0.8626,0.9334,48.803,65.783,6937,1212,1010,9.919
A,deploy,norm_cv,4,0.7581,0.7064,0.8056,0.7327,0.6184,0.8532,27.173,41.047,6937,1212,1010,9.919
A,deploy,cqr,4,0.7652,0.7279,0.8075,0.5784,0.4842,0.6991,38.797,62.895,6937,1212,1010,9.919
